Skrót ,Pełna Nazwa,Kraj ,Typ 
SVQ1 ,"SVQ1  
POLIGONO SEN 22, DOS HERMANAS
SEVILLA, ANDALUSIA
41703",INTERNATIONAL ,INTERNATIONAL 
SZZ1 - PL,"SZZ1
KOLBASKOWO 156
KOLBASKOWO, ZACHODNIOPOMORSKIE
PL 72-001",NATIONAL,NATIONAL
TIP FEHRBELLIN,"TIP FEHRBELLIN
FEHRBELLINER STR. 6D
FEHRBELLIN, BRANDENBURG
16833",INTERNATIONAL ,INTERNATIONAL 
TIP HOF,"TIP HOF
VICEBURGSTRASSE 10 A
HOF
95032",INTERNATIONAL ,INTERNATIONAL 
TIP LANDSBERG,"TIP LANDSBERG
TIP LANDSBERG
CARLSFELDER STRASSE 2
LANDSBERG
06188",INTERNATIONAL ,INTERNATIONAL 
TIP SENFTENBERG,"TIP SENFTENBERG
INDUSTRIEPARK
SENFTENBERG
01968",INTERNATIONAL ,INTERNATIONAL 
TIP VORLAND,"TIP VORLAND
BAHNHOFSTRASSE 13
KÜSTRINER VORLAND
15328",INTERNATIONAL ,INTERNATIONAL 
TRN1  ,"TRN1   
STRADA PROVINCIALE PER RONDISSONE 90
TORRAZZA PIEMONTE, PIEMONTE
10037",INTERNATIONAL ,INTERNATIONAL 
VEDD,"VEDD
AMAZON VEDD C/O SIEWERT & KAU COMPUTERTECHNIK GMBH
WALTER-GROPIUS-STRASSE 12A BERGHEIM,
NORTH RHINE-WESTPHALIA, COLOGNE, GERMANY 50126",INTERNATIONAL ,INTERNATIONAL 
VEFE,"VEFE
AMAZON VEFE C/O PANTOS LOGISTICS POLAND SP. Z O.O.
RELAKSOWA 44
NOWA WIEŚ WROCŁAWSKA
55-080",NATIONAL,NATIONAL
VEIR - PL,"VEIR 
UL. LOGISTYCZNA 7
DABROWKA 
PL 62-070",NATIONAL,NATIONAL
VEMF,"VEMF
WEGASTRASSE 6
HALLE, SACHSEN
06116",INTERNATIONAL ,INTERNATIONAL 
VEML,"VEML
SACHTLEBENSTRASSE 1
AMAZON VEML C/O MÜLLER-LILA LOGISTICS
DORMAGEN, NORTH RHINE WESTPHALIA
41541",INTERNATIONAL ,INTERNATIONAL 
VEQB,"VEQB
AMAZON VEQB C/O TECHDATA
ZANKELTRAD 11
ESLARN, BAVARIA
92693",INTERNATIONAL ,INTERNATIONAL 
VILSAIT - PL,"VILSAIT 
IWR5 AMAZON ICC 
BOLESLAWIEC SLASKI UL. PRZEMYSLOWA 5
PL 59-700",NATIONAL,NATIONAL
WRO1 - PL,"WRO1 
AMAZON FULFILLMENT POLAND - FC WRO1
BIELANY WROCLAWSKIE ,UL.CZEKOLADOWA 1
PL 55-040",NATIONAL,NATIONAL
WRO2 - PL,"WRO2
AMAZON FULFILLMENT POLAND - FC WRO2 
BIELANY WROCLAWSKIE ,UL. LOGISTYCZNA 6
PL 55-040",NATIONAL,NATIONAL
WS HAUNECK,"WS HAUNECK
KUEHNE + NAGEL (AG & CO.) KG
BLAUE LIEDE 14
HAUNECK
36282",INTERNATIONAL ,INTERNATIONAL 
WS WROCLAW -PL,"WS WROCLAW
UL. OPOLSKA 188
WROCLAW
52014",NATIONAL,NATIONAL
XDR1,"XDR1
SŁOWIAŃSKA 13B
ZGORZELEC, POLAND
59-900",INTERNATIONAL ,INTERNATIONAL 
XDR1 ID - PL,"XDR1 ID LOGISTICS POLAND
UL. SLOWIANSKA
ZGORZELEC, POLAND
59-900",NATIONAL,NATIONAL
